artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,artist_song
In This Moment,Adrenalize,255773,False,2012,0,0.465,0.96,6,-3.888,1,0.0792,0.00023,0.0,0.129,0.43,132.014,hard-rock,"In This Moment, Adrenalize"
In This Moment,Adrenalize,255773,False,2012,0,0.465,0.96,6,-3.888,1,0.0792,0.00023,0.0,0.129,0.43,132.014,metal,"In This Moment, Adrenalize"
Heart,Alone,218733,False,2002,0,0.411,0.685,1,-5.755,1,0.0377,0.609,0.0001,0.108,0.147,175.186,rock,"Heart, Alone"
Heart,Alone,218733,False,1987,73,0.418,0.452,1,-13.099,1,0.0356,0.638,0.00026,0.0959,0.168,175.088,rock,"Heart, Alone"
Nightwish,Amaranth,231413,False,2007,0,0.553,0.874,2,-3.685,0,0.0401,0.00388,0.00184,0.104,0.319,127.961,hard-rock,"Nightwish, Amaranth"
Nightwish,Amaranth,233867,False,2008,0,0.559,0.864,2,-3.989,0,0.0423,0.00445,0.00313,0.0625,0.291,127.983,heavy-metal,"Nightwish, Amaranth"
Nightwish,Amaranth,231413,False,2007,0,0.553,0.874,2,-3.685,0,0.0401,0.00388,0.00184,0.104,0.319,127.961,metal,"Nightwish, Amaranth"
Nosaj Thing,Aquarium,184000,False,2006,49,0.635,0.655,0,-9.521,1,0.0484,0.15,0.553,0.129,0.271,91.026,idm,"Nosaj Thing, Aquarium"
Nosaj Thing,Aquarium,184000,False,2006,49,0.635,0.655,0,-9.521,1,0.0484,0.15,0.553,0.129,0.271,91.026,indie,"Nosaj Thing, Aquarium"
Nosaj Thing,Aquarium,184000,False,2006,49,0.635,0.655,0,-9.521,1,0.0484,0.15,0.553,0.129,0.271,91.026,trip-hop,"Nosaj Thing, Aquarium"
Daft Punk,Around the World,429533,False,1997,75,0.956,0.795,7,-5.311,1,0.15,0.00356,0.889,0.0906,0.841,121.294,dub,"Daft Punk, Around the World"
Daft Punk,Around the World,429533,False,1997,75,0.956,0.795,7,-5.311,1,0.15,0.00356,0.889,0.0906,0.841,121.294,electronic,"Daft Punk, Around the World"
Oliver Koletzki & Fran,Arrow And Bow - Marek Hemmann Remix,431375,False,2010,0,0.799,0.57,2,-13.467,0,0.0563,0.00398,0.662,0.115,0.523,124.999,deep-house,"Oliver Koletzki & Fran, Arrow And Bow - Marek Hemmann Remix"
Oliver Koletzki & Fran,Arrow And Bow - Marek Hemmann Remix,431375,False,2010,0,0.799,0.57,2,-13.467,0,0.0563,0.00398,0.662,0.115,0.523,124.999,minimal-techno,"Oliver Koletzki & Fran, Arrow And Bow - Marek Hemmann Remix"
Chase & Status,Blind Faith,233082,False,2011,0,0.453,0.85,9,-4.776,0,0.0541,0.00585,1.61e-06,0.213,0.418,140.05,breakbeat,"Chase & Status, Blind Faith"
Chase & Status,Blind Faith,233082,False,2011,0,0.453,0.85,9,-4.776,0,0.0541,0.00585,1.61e-06,0.213,0.418,140.05,drum-and-bass,"Chase & Status, Blind Faith"
Chase & Status,Blind Faith,233082,False,2011,0,0.453,0.85,9,-4.776,0,0.0541,0.00585,1.61e-06,0.213,0.418,140.05,dubstep,"Chase & Status, Blind Faith"
Robin Thicke,Blurred Lines,263053,False,2013,0,0.862,0.503,7,-7.703,1,0.0494,0.00453,1.87e-05,0.0761,0.863,119.998,house,"Robin Thicke, Blurred Lines"
Robin Thicke,Blurred Lines,263053,False,2013,0,0.862,0.503,7,-7.703,1,0.0494,0.00453,1.87e-05,0.0761,0.863,119.998,new-age,"Robin Thicke, Blurred Lines"
Sam Hunt,Body Like A Back Road,165387,False,2017,72,0.732,0.458,5,-7.225,1,0.0311,0.447,0.0,0.136,0.661,98.938,country,"Sam Hunt, Body Like A Back Road"
Sam Hunt,Body Like A Back Road,165387,False,2017,72,0.732,0.458,5,-7.225,1,0.0311,0.447,0.0,0.136,0.661,98.938,hip-hop,"Sam Hunt, Body Like A Back Road"
Queen,Bohemian Rhapsody - Remastered 2011,354320,False,1975,73,0.392,0.402,0,-9.961,0,0.0536,0.288,0.0,0.243,0.228,143.883,rock,"Queen, Bohemian Rhapsody - Remastered 2011"
Queen,Bohemian Rhapsody - Remastered 2011,354320,False,2011,54,0.392,0.402,0,-9.961,0,0.0536,0.288,0.0,0.243,0.228,143.883,rock,"Queen, Bohemian Rhapsody - Remastered 2011"
alt-J,Breezeblocks,227080,False,2012,71,0.615,0.658,5,-7.299,1,0.0343,0.096,0.000911,0.205,0.293,150.093,indie,"alt-J, Breezeblocks"
alt-J,Breezeblocks,227080,False,2012,71,0.615,0.658,5,-7.299,1,0.0343,0.096,0.000911,0.205,0.293,150.093,indie-pop,"alt-J, Breezeblocks"
Commodores,Brick House,208893,False,1977,64,0.831,0.782,4,-10.48,0,0.0595,0.0731,0.0171,0.032,0.631,107.877,soul funk disco,"Commodores, Brick House"
Commodores,Brick House,206800,False,1997,19,0.83,0.892,4,-5.611,0,0.0647,0.0328,0.00408,0.0658,0.675,107.752,soul funk disco,"Commodores, Brick House"
Stephen Swartz,Bullet Train (feat. Joni Fatora),245538,False,2012,54,0.546,0.703,8,-3.139,0,0.123,0.00797,0.000327,0.175,0.196,129.868,dubstep,"Stephen Swartz, Bullet Train (feat. Joni Fatora)"
Stephen Swartz,Bullet Train (feat. Joni Fatora),245538,False,2012,54,0.546,0.703,8,-3.139,0,0.123,0.00797,0.000327,0.175,0.196,129.868,edm,"Stephen Swartz, Bullet Train (feat. Joni Fatora)"
La Roux,Bulletproof,205733,False,2009,0,0.674,0.882,3,-2.771,0,0.0477,0.000441,6.47e-05,0.068,0.682,123.016,electronic,"La Roux, Bulletproof"
