artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Lou Reed,Walk on the Wild Side,253960,False,1972,0,0.564,0.262,0,-19.746,1,0.105,0.652,0.000204,0.0896,0.376,104.5,rock
John Mayer,Dreaming with a Broken Heart,245747,False,2006,61,0.61,0.349,0,-9.321,1,0.0301,0.554,0.0099,0.201,0.155,136.012,acoustic
"Israel ""IZ"" Kamakawiwoole",Over The Rainbow/What A Wonderful World,304467,False,2007,43,0.675,0.16,0,-13.6,1,0.039,0.928,7.86e-05,0.0762,0.661,85.105,acoustic
Kate Miller-Heidke,Walking on a Dream,225427,False,2009,23,0.503,0.294,8,-11.439,0,0.1,0.891,0.0,0.0983,0.0974,81.68,acoustic
Adele,Make You Feel My Love,212040,False,2008,2,0.559,0.172,10,-10.636,1,0.0291,0.907,0.000383,0.105,0.0955,77.025,pop
Beth,Don't You Worry Child,154711,False,2012,0,0.732,0.18,7,-11.448,1,0.0427,0.949,2.18e-05,0.11,0.432,120.996,acoustic
City and Colour,Day Old Hate,404893,False,2005,41,0.278,0.485,8,-7.796,0,0.0284,0.564,1.4e-06,0.102,0.145,73.649,acoustic
Five For Fighting,100 Years,244667,False,2003,0,0.636,0.561,7,-7.482,1,0.0279,0.586,1.51e-05,0.264,0.293,120.471,acoustic
Devendra Banhart,Don't Look Back In Anger,231693,False,2007,27,0.385,0.312,0,-11.935,1,0.0715,0.929,1.85e-06,0.154,0.271,175.877,acoustic
Ray LaMontagne,Hold You in My Arms,306200,False,2004,60,0.504,0.321,7,-13.807,1,0.0316,0.149,0.000107,0.147,0.577,170.134,acoustic
Justin Bieber,Be Alright,189653,False,2012,0,0.773,0.357,8,-8.931,1,0.0347,0.625,0.0,0.236,0.753,106.938,pop
Kina Grannis,Michicant,174222,False,2011,15,0.668,0.084,2,-16.911,1,0.0396,0.971,1.29e-06,0.102,0.339,138.462,acoustic
Loudon Wainwright III,Lullaby,177707,False,1973,38,0.566,0.168,0,-16.778,1,0.0387,0.541,0.0349,0.107,0.282,115.643,folk
ortoPilot,Waterfalls,212423,False,2012,36,0.847,0.532,3,-8.845,0,0.0506,0.676,2.88e-05,0.101,0.837,100.003,acoustic
José González,Teardrop,200853,False,2011,0,0.496,0.555,7,-6.363,1,0.028,0.379,0.279,0.112,0.341,74.306,acoustic
James Morrison,Wonderful World,212413,False,2007,18,0.485,0.679,1,-5.31,1,0.0281,0.052,0.0,0.0961,0.596,79.016,pop
OneRepublic,Mercy - Radio 1 Live Lounge Session (Duffy cover),223853,False,2007,0,0.573,0.53,2,-6.008,0,0.0307,0.212,0.0,0.136,0.815,131.103,pop
Imagine Dragons,Demons,175200,False,2012,0,0.327,0.71,3,-2.928,1,0.0547,0.202,9e-05,0.28,0.416,179.561,rock
S. Carey,In the Stream,310733,False,2010,0,0.462,0.244,3,-16.96,1,0.029,0.951,0.173,0.12,0.078,100.142,acoustic
